Batch;cloudlet;cloudlet_task1;cloudlet_task2;cloud;cloud_task1;cloud_task2;system;system_task1;system_task2;
36;1.514842;1.147515;1.872762;0.112771;0.119699;0.106020;1.627613;1.267214;1.978781;
37;1.562224;1.181911;1.925909;0.109589;0.118451;0.101115;1.671813;1.300362;2.027024;
38;1.547923;1.188497;1.891976;0.112279;0.121919;0.103050;1.660202;1.310416;1.995026;
39;1.537033;1.092950;1.980972;0.113546;0.119283;0.107811;1.650579;1.212233;2.088783;
40;1.530188;1.177277;1.875284;0.109292;0.115463;0.103257;1.639480;1.292741;1.978540;
41;1.582504;1.197439;1.971827;0.111369;0.116252;0.106432;1.693873;1.313691;2.078259;
42;1.553903;1.189096;1.896231;0.117312;0.124473;0.110591;1.671215;1.313569;2.006822;
43;1.541582;1.132904;1.932288;0.113340;0.120255;0.106729;1.654922;1.253159;2.039018;
44;1.556168;1.135087;1.956122;0.111311;0.121015;0.102095;1.667480;1.256101;2.058217;
45;1.564167;1.117861;2.002233;0.108311;0.118330;0.098478;1.672478;1.236191;2.100711;
46;1.559554;1.148640;1.955108;0.118760;0.125834;0.111951;1.678315;1.274474;2.067059;
47;1.556033;1.224178;1.880903;0.111817;0.120288;0.103523;1.667849;1.344466;1.984426;
48;1.558331;1.170393;1.935631;0.117068;0.122213;0.112065;1.675399;1.292606;2.047696;
49;1.562187;1.200594;1.908944;0.110974;0.116511;0.105665;1.673162;1.317105;2.014609;
50;1.537272;1.133914;1.915393;0.115617;0.123357;0.108361;1.652889;1.257271;2.023754;
51;1.534705;1.144870;1.905030;0.110195;0.119215;0.101625;1.644900;1.264086;2.006655;
52;1.562126;1.224259;1.892040;0.116749;0.125004;0.108689;1.678876;1.349263;2.000729;
53;1.547115;1.190704;1.887711;0.110988;0.118237;0.104060;1.658102;1.308941;1.991771;
54;1.549520;1.156120;1.921168;0.111940;0.119711;0.104599;1.661461;1.275832;2.025767;
55;1.564122;1.141115;1.958461;0.112645;0.120809;0.105035;1.676767;1.261924;2.063496;
56;1.555837;1.207381;1.885587;0.113294;0.119841;0.107098;1.669131;1.327223;1.992685;
57;1.539231;1.151612;1.914891;0.117898;0.126537;0.109525;1.657129;1.278149;2.024416;
58;1.551017;1.117403;1.965602;0.112347;0.122738;0.102412;1.663365;1.240141;2.068014;
59;1.542191;1.163161;1.911638;0.115457;0.125934;0.105245;1.657648;1.289095;2.016883;
60;1.539303;1.152243;1.916799;0.112242;0.120946;0.103752;1.651545;1.273190;2.020552;
61;1.545159;1.181137;1.898094;0.113239;0.121610;0.105124;1.658399;1.302747;2.003218;
62;1.541997;1.153338;1.916836;0.110315;0.113335;0.107402;1.652312;1.266674;2.024238;
63;1.551532;1.150739;1.943435;0.110790;0.120085;0.101701;1.662322;1.270824;2.045136;
64;1.531421;1.116723;1.935400;0.114237;0.122001;0.106673;1.645658;1.238724;2.042073;
65;1.538915;1.149730;1.917270;0.114413;0.121081;0.107930;1.653328;1.270811;2.025199;
66;1.548819;1.120516;1.960901;0.114193;0.120052;0.108557;1.663012;1.240568;2.069458;
67;1.540328;1.152891;1.926129;0.114087;0.123298;0.104915;1.654415;1.276189;2.031044;
68;1.530164;1.166347;1.888297;0.114407;0.125202;0.103781;1.644571;1.291549;1.992078;
69;1.550207;1.157917;1.927806;0.115892;0.126651;0.105537;1.666099;1.284567;2.033342;
70;1.553533;1.136980;1.950223;0.115851;0.124842;0.107288;1.669384;1.261822;2.057511;
71;1.556621;1.152795;1.952173;0.112597;0.121646;0.103734;1.669218;1.274441;2.055908;
72;1.563703;1.180137;1.934586;0.109372;0.115387;0.103557;1.673076;1.295524;2.038143;
73;1.551519;1.141669;1.949885;0.110531;0.119298;0.102009;1.662050;1.260967;2.051893;
74;1.561186;1.155504;1.953894;0.113689;0.121565;0.106064;1.674875;1.277069;2.059958;
75;1.542781;1.135655;1.926194;0.110642;0.120302;0.101545;1.653423;1.255956;2.027739;
76;1.541639;1.147061;1.913975;0.109457;0.119686;0.099805;1.651097;1.266747;2.013781;
77;1.531410;1.130750;1.904718;0.110098;0.119120;0.101692;1.641508;1.249870;2.006410;
78;1.578383;1.197175;1.947649;0.114796;0.121093;0.108696;1.693179;1.318268;2.056346;
79;1.558902;1.118470;1.998177;0.112584;0.119710;0.105476;1.671486;1.238180;2.103653;
80;1.559716;1.156566;1.947312;0.108320;0.115869;0.101062;1.668036;1.272435;2.048374;
81;1.547148;1.145589;1.927851;0.115722;0.123050;0.108773;1.662870;1.268639;2.036624;
82;1.553771;1.150519;1.950921;0.111966;0.120176;0.103879;1.665736;1.270695;2.054800;
83;1.565983;1.194425;1.916686;0.110425;0.117797;0.103467;1.676408;1.312222;2.020153;
84;1.539562;1.110388;1.955672;0.115933;0.123601;0.108499;1.655495;1.233989;2.064171;
85;1.561481;1.160588;1.941157;0.111369;0.116351;0.106651;1.672850;1.276939;2.047808;
86;1.552858;1.129578;1.971164;0.106894;0.111491;0.102351;1.659752;1.241069;2.073515;
87;1.541627;1.104974;1.944614;0.112639;0.117139;0.108486;1.654266;1.222112;2.053099;
88;1.550147;1.069929;2.019173;0.117158;0.124347;0.110137;1.667305;1.194276;2.129310;
89;1.556056;1.158739;1.953046;0.106481;0.114127;0.098842;1.662537;1.272865;2.051888;
90;1.544323;1.124765;1.940219;0.112917;0.120139;0.106102;1.657240;1.244903;2.046321;
91;1.539105;1.156752;1.907081;0.116797;0.122408;0.111397;1.655902;1.279160;2.018478;
92;1.556162;1.162582;1.936053;0.108509;0.117034;0.100279;1.664671;1.279616;2.036332;
93;1.541622;1.149830;1.923274;0.116875;0.122365;0.111527;1.658497;1.272195;2.034801;
94;1.557151;1.154911;1.937722;0.113489;0.122220;0.105227;1.670640;1.277131;2.042949;
95;1.567233;1.125457;2.003494;0.112930;0.122828;0.103157;1.680164;1.248285;2.106651;
96;1.533459;1.116544;1.920336;0.110440;0.120553;0.101055;1.643899;1.237097;2.021391;
97;1.540370;1.135158;1.913413;0.112307;0.121253;0.104071;1.652677;1.256411;2.017484;
98;1.543863;1.173086;1.899709;0.111669;0.119510;0.104144;1.655532;1.292596;2.003853;
99;1.534332;1.078133;1.965063;0.113907;0.121105;0.107111;1.648239;1.199238;2.072175;
100;1.551097;1.163509;1.922198;0.112160;0.119433;0.105197;1.663257;1.282943;2.027395;
