Batch;cloudlet;cloudlet_task1;cloudlet_task2;cloud;cloud_task1;cloud_task2;system;system_task1;system_task2;
1;1.583041;1.122985;2.017762;0.114813;0.120447;0.109491;1.697855;1.243432;2.127252;
2;1.563193;1.197014;1.900849;0.109379;0.114452;0.104701;1.672573;1.311466;2.005550;
3;1.532848;1.137225;1.915947;0.109755;0.118049;0.101724;1.642603;1.255274;2.017671;
4;1.549365;1.094661;1.984381;0.112858;0.119500;0.106504;1.662223;1.214161;2.090885;
5;1.533578;1.199127;1.859335;0.114258;0.121518;0.107187;1.647837;1.320645;1.966523;
6;1.545237;1.143991;1.936965;0.112339;0.122382;0.102533;1.657576;1.266373;2.039498;
7;1.526859;1.189907;1.851204;0.109879;0.119353;0.100758;1.636737;1.309261;1.951963;
8;1.547897;1.121674;1.973287;0.110975;0.119886;0.102081;1.658872;1.241561;2.075368;
9;1.555972;1.151373;1.956236;0.111072;0.118969;0.103259;1.667044;1.270342;2.059495;
10;1.565275;1.184591;1.931276;0.108562;0.115238;0.102143;1.673836;1.299829;2.033419;
11;1.538456;1.130394;1.936852;0.111905;0.117302;0.106636;1.650361;1.247696;2.043488;
12;1.550206;1.171575;1.913016;0.113185;0.118992;0.107622;1.663392;1.290566;2.020638;
13;1.537160;1.157847;1.901451;0.113379;0.121172;0.105895;1.650539;1.279019;2.007347;
14;1.536798;1.124721;1.926804;0.109749;0.115876;0.103951;1.646547;1.240597;2.030755;
15;1.551471;1.141338;1.954705;0.110450;0.119108;0.101937;1.661921;1.260446;2.056642;
16;1.529858;1.141160;1.902643;0.114553;0.121806;0.107598;1.644411;1.262966;2.010241;
17;1.581017;1.174461;1.991517;0.109747;0.115760;0.103676;1.690764;1.290221;2.095193;
18;1.531600;1.141437;1.903087;0.113603;0.119460;0.108026;1.645202;1.260897;2.011113;
19;1.561696;1.143442;1.957155;0.114817;0.121791;0.108223;1.676513;1.265234;2.065378;
20;1.549076;1.122656;1.946243;0.114932;0.123416;0.107029;1.664008;1.246072;2.053272;
21;1.549922;1.179138;1.893314;0.110359;0.116449;0.104720;1.660281;1.295586;1.998034;
22;1.553526;1.197589;1.903514;0.111812;0.117071;0.106641;1.665338;1.314660;2.010155;
23;1.553041;1.131860;1.937152;0.112057;0.119058;0.105672;1.665098;1.250918;2.042824;
24;1.553251;1.186166;1.916689;0.106546;0.113724;0.099439;1.659797;1.299891;2.016128;
25;1.550814;1.135523;1.935469;0.112838;0.118244;0.107830;1.663652;1.253767;2.043299;
26;1.543467;1.190387;1.890136;0.115738;0.123009;0.108599;1.659205;1.313397;1.998734;
27;1.527380;1.092514;1.936048;0.114264;0.118367;0.110407;1.641643;1.210881;2.046455;
28;1.553948;1.160482;1.919251;0.111196;0.118823;0.104115;1.665143;1.279305;2.023365;
29;1.546069;1.158322;1.918182;0.114049;0.120746;0.107622;1.660118;1.279069;2.025804;
30;1.570112;1.166195;1.944461;0.113825;0.119860;0.108231;1.683936;1.286055;2.052692;
31;1.535466;1.122682;1.926197;0.112375;0.117451;0.107570;1.647841;1.240133;2.033767;
32;1.551313;1.131345;1.955033;0.114461;0.122868;0.106378;1.665773;1.254213;2.061411;
33;1.547693;1.130426;1.931083;0.105960;0.111485;0.100884;1.653654;1.241911;2.031967;
34;1.551166;1.131294;1.946669;0.111983;0.120614;0.103853;1.663149;1.251908;2.050522;
35;1.566954;1.163557;1.942513;0.113169;0.119994;0.106816;1.680123;1.283551;2.049328;
