Batch;cloudlet;cloudlet_task1;cloudlet_task2;cloud;cloud_task1;cloud_task2;system;system_task1;system_task2;
89;1.570174;1.189825;1.940316;0.105899;0.111087;0.100851;1.676073;1.300912;2.041167;
90;1.537368;1.159037;1.907507;0.109080;0.119772;0.098619;1.646448;1.278809;2.006126;
91;1.552705;1.130886;1.963900;0.109682;0.115625;0.103889;1.662387;1.246511;2.067789;
92;1.526548;1.146996;1.893709;0.113101;0.123872;0.102682;1.639649;1.270868;1.996391;
93;1.548534;1.148081;1.918667;0.113095;0.121489;0.105337;1.661629;1.269570;2.024004;
94;1.563917;1.147731;1.966254;0.108628;0.116019;0.101483;1.672545;1.263750;2.067737;
95;1.554501;1.163476;1.925731;0.110916;0.117654;0.104519;1.665416;1.281130;2.030249;
96;1.553042;1.139956;1.959830;0.113680;0.121157;0.106317;1.666722;1.261113;2.066148;
97;1.566149;1.144449;1.958535;0.113609;0.121096;0.106642;1.679758;1.265545;2.065177;
98;1.546445;1.104997;1.963694;0.111339;0.120597;0.102589;1.657784;1.225594;2.066283;
99;1.569457;1.145129;1.972316;0.116163;0.126657;0.106199;1.685619;1.271786;2.078515;
100;1.552245;1.159394;1.929606;0.112314;0.119746;0.105174;1.664558;1.279140;2.034780;
