Batch;cloudlet;cloudlet_task1;cloudlet_task2;cloud;cloud_task1;cloud_task2;system;system_task1;system_task2;
1;1.571488;1.222527;1.917403;0.110413;0.120045;0.100866;1.681901;1.342572;2.018269;
2;1.553798;1.167143;1.922606;0.110529;0.118021;0.103382;1.664327;1.285164;2.025988;
3;1.561328;1.154054;1.955413;0.112769;0.119472;0.106284;1.674097;1.273526;2.061697;
4;1.536049;1.129478;1.914866;0.112253;0.119877;0.105150;1.648302;1.249356;2.020016;
5;1.527237;1.138987;1.903743;0.117469;0.125623;0.109561;1.644706;1.264610;2.013303;
6;1.548699;1.198874;1.883881;0.113750;0.122439;0.105425;1.662449;1.321313;1.989306;
7;1.578173;1.103507;2.025197;0.115003;0.122794;0.107665;1.693176;1.226301;2.132861;
8;1.547213;1.160147;1.913507;0.110252;0.118069;0.102853;1.657465;1.278217;2.016361;
9;1.530547;1.179615;1.855430;0.112601;0.121195;0.104645;1.643149;1.300811;1.960076;
10;1.543373;1.162616;1.904232;0.110912;0.115521;0.106545;1.654285;1.278137;2.010777;
11;1.564762;1.173902;1.952744;0.114543;0.124410;0.104749;1.679305;1.298311;2.057493;
12;1.556665;1.204370;1.892236;0.111852;0.119014;0.105030;1.668517;1.323384;1.997266;
13;1.575478;1.158470;1.967253;0.110423;0.113910;0.107147;1.685901;1.272380;2.074400;
14;1.539167;1.140263;1.924127;0.114276;0.119179;0.109545;1.653443;1.259442;2.033672;
15;1.550725;1.143718;1.950686;0.110134;0.117733;0.102665;1.660858;1.261451;2.053351;
16;1.561931;1.127021;1.972391;0.115241;0.124977;0.106053;1.677172;1.251998;2.078444;
17;1.552056;1.175381;1.916520;0.111533;0.118749;0.104552;1.663589;1.294130;2.021072;
18;1.550276;1.180221;1.914160;0.112576;0.118400;0.106849;1.662852;1.298621;2.021008;
19;1.551584;1.186636;1.899229;0.107334;0.113799;0.101175;1.658918;1.300435;2.000404;
20;1.567964;1.178506;1.945228;0.107536;0.115101;0.100208;1.675500;1.293607;2.045436;
21;1.519291;1.128375;1.895508;0.116151;0.123693;0.108892;1.635441;1.252068;2.004400;
22;1.565704;1.209309;1.917376;0.110886;0.116562;0.105285;1.676590;1.325871;2.022660;
23;1.550430;1.178140;1.906304;0.111650;0.116117;0.107381;1.662081;1.294257;2.013685;
24;1.561392;1.135566;1.977478;0.114283;0.125095;0.103718;1.675675;1.260661;2.081196;
25;1.556468;1.141122;1.953110;0.106761;0.114753;0.099129;1.663229;1.255875;2.052240;
26;1.568368;1.216678;1.918779;0.109179;0.114085;0.104290;1.677546;1.330763;2.023069;
27;1.527748;1.107770;1.931273;0.115097;0.122009;0.108456;1.642845;1.229779;2.039729;
28;1.552446;1.160089;1.928348;0.112872;0.118023;0.107937;1.665318;1.278112;2.036285;
29;1.533654;1.187264;1.864316;0.116281;0.125559;0.107424;1.649934;1.312823;1.971740;
30;1.570438;1.178634;1.943585;0.108290;0.117633;0.099393;1.678729;1.296266;2.042978;
31;1.559302;1.182968;1.926897;0.113213;0.122051;0.104581;1.672515;1.305019;2.031478;
32;1.562163;1.156316;1.955323;0.113781;0.122812;0.105033;1.675944;1.279127;2.060356;
33;1.535428;1.183822;1.874003;0.112254;0.120831;0.103994;1.647681;1.304652;1.977998;
34;1.586016;1.174493;1.967204;0.108648;0.116148;0.101700;1.694663;1.290641;2.068905;
35;1.542256;1.161668;1.913861;0.112391;0.120128;0.104836;1.654647;1.281796;2.018697;
36;1.547591;1.125248;1.942831;0.115292;0.119033;0.111791;1.662882;1.244281;2.054622;
37;1.562106;1.174795;1.930777;0.112738;0.118708;0.107055;1.674844;1.293503;2.037832;
38;1.539847;1.126009;1.937160;0.115247;0.121525;0.109220;1.655093;1.247533;2.046379;
39;1.549806;1.098366;1.986292;0.109994;0.112329;0.107735;1.659799;1.210696;2.094027;
40;1.549139;1.112256;1.962820;0.114500;0.122626;0.106806;1.663639;1.234882;2.069626;
41;1.568775;1.146117;1.976483;0.118365;0.123725;0.113195;1.687141;1.269842;2.089678;
42;1.540809;1.181576;1.865889;0.111348;0.119745;0.103749;1.652156;1.301321;1.969638;
43;1.529804;1.107572;1.935200;0.117743;0.125372;0.110418;1.647547;1.232944;2.045618;
44;1.544553;1.149742;1.914289;0.112283;0.118614;0.106355;1.656836;1.268356;2.020643;
45;1.547935;1.170774;1.907598;0.116990;0.121846;0.112360;1.664925;1.292620;2.019958;
46;1.563067;1.194399;1.921924;0.110296;0.118119;0.102681;1.673363;1.312517;2.024606;
47;1.552417;1.165834;1.928126;0.115167;0.123259;0.107303;1.667584;1.289093;2.035429;
48;1.557012;1.142717;1.950252;0.110152;0.119135;0.101626;1.667164;1.261852;2.051877;
49;1.562899;1.117423;1.984801;0.110561;0.119524;0.102072;1.673459;1.236946;2.086873;
50;1.549051;1.187307;1.888994;0.111129;0.119133;0.103608;1.660180;1.306440;1.992601;
51;1.543990;1.190771;1.880455;0.113207;0.120844;0.105933;1.657197;1.311616;1.986388;
52;1.541240;1.141662;1.924751;0.112837;0.120072;0.105894;1.654078;1.261733;2.030646;
53;1.537262;1.144162;1.904955;0.109966;0.115324;0.104954;1.647228;1.259486;2.009909;
54;1.568455;1.167664;1.961501;0.109823;0.120462;0.099389;1.678277;1.288126;2.060890;
55;1.575653;1.223997;1.918361;0.109181;0.113481;0.104990;1.684834;1.337478;2.023351;
56;1.555842;1.184145;1.917958;0.111563;0.117158;0.106113;1.667405;1.301303;2.024070;
57;1.558807;1.157909;1.939172;0.110536;0.119325;0.102197;1.669342;1.277233;2.041369;
58;1.567891;1.198780;1.919724;0.111105;0.118689;0.103875;1.678996;1.317470;2.023599;
59;1.566509;1.148699;1.975336;0.110323;0.122151;0.098748;1.676831;1.270850;2.074084;
60;1.552335;1.146626;1.939758;0.107583;0.115708;0.099824;1.659917;1.262334;2.039582;
