Batch;cloudlet;cloudlet_task1;cloudlet_task2;cloud;cloud_task1;cloud_task2;system;system_task1;system_task2;
61;1.536417;1.147545;1.922904;0.114619;0.120428;0.108845;1.651036;1.267973;2.031749;
62;1.568287;1.141308;1.977753;0.112814;0.121023;0.104942;1.681101;1.262331;2.082695;
63;1.561977;1.178452;1.928727;0.110536;0.119842;0.101636;1.672513;1.298295;2.030364;
64;1.567150;1.147512;1.969873;0.115422;0.126050;0.105222;1.682572;1.273563;2.075095;
65;1.556431;1.135951;1.968672;0.113474;0.123917;0.103236;1.669905;1.259868;2.071908;
66;1.535837;1.142927;1.895944;0.112022;0.121258;0.103557;1.647859;1.264185;1.999501;
67;1.562206;1.161807;1.961355;0.111429;0.122711;0.100182;1.673635;1.284519;2.061537;
68;1.549962;1.132217;1.951036;0.112681;0.121025;0.104669;1.662642;1.253243;2.055705;
69;1.539458;1.189706;1.879092;0.113688;0.123769;0.103898;1.653145;1.313475;1.982989;
70;1.547862;1.121832;1.959318;0.113482;0.123820;0.103497;1.661344;1.245652;2.062815;
71;1.559003;1.158770;1.956689;0.113186;0.121925;0.104502;1.672189;1.280695;2.061192;
72;1.572660;1.182325;1.953314;0.113204;0.119358;0.107203;1.685864;1.301682;2.060516;
73;1.534622;1.141640;1.914178;0.115656;0.121987;0.109541;1.650277;1.263628;2.023719;
74;1.549423;1.125941;1.943033;0.114947;0.121451;0.108902;1.664370;1.247391;2.051935;
75;1.537007;1.160704;1.909553;0.112048;0.120989;0.103196;1.649055;1.281693;2.012749;
76;1.557527;1.125336;1.950213;0.109270;0.117621;0.101683;1.666798;1.242957;2.051896;
77;1.561649;1.175049;1.930630;0.109479;0.115944;0.103309;1.671128;1.290993;2.033939;
78;1.544037;1.147461;1.927466;0.116085;0.125167;0.107305;1.660123;1.272628;2.034771;
79;1.561218;1.151898;1.950043;0.112660;0.121072;0.104669;1.673878;1.272970;2.054712;
80;1.548185;1.149403;1.926363;0.113205;0.124981;0.102037;1.661390;1.274385;2.028400;
81;1.570045;1.165760;1.948348;0.112256;0.120929;0.104141;1.682301;1.286689;2.052488;
82;1.528597;1.164459;1.886891;0.117650;0.123002;0.112384;1.646247;1.287461;1.999274;
83;1.564192;1.218751;1.906518;0.109120;0.113360;0.104919;1.673312;1.332111;2.011437;
84;1.580770;1.197506;1.947696;0.111663;0.121626;0.102124;1.692433;1.319133;2.049821;
85;1.548191;1.127109;1.948612;0.111988;0.121368;0.103069;1.660180;1.248476;2.051681;
86;1.552851;1.164153;1.930015;0.116988;0.123057;0.111099;1.669840;1.287210;2.041115;
87;1.553317;1.139687;1.947953;0.114688;0.120969;0.108695;1.668004;1.260656;2.056648;
88;1.524039;1.175679;1.855852;0.110084;0.115046;0.105357;1.634123;1.290726;1.961209;
89;1.566323;1.197109;1.917992;0.107980;0.112629;0.103553;1.674303;1.309738;2.021545;
90;1.547657;1.243260;1.838431;0.112561;0.120251;0.105214;1.660218;1.363511;1.943646;
91;1.537574;1.152530;1.919385;0.109530;0.115559;0.103553;1.647105;1.268089;2.022938;
92;1.559626;1.157888;1.947804;0.112086;0.120336;0.104114;1.671711;1.278223;2.051918;
93;1.529001;1.136937;1.891961;0.119421;0.127957;0.111519;1.648423;1.264894;2.003480;
94;1.547280;1.150001;1.926673;0.112634;0.117881;0.107623;1.659914;1.267882;2.034296;
95;1.544141;1.126544;1.949381;0.111015;0.120888;0.101433;1.655156;1.247432;2.050815;
96;1.552660;1.159811;1.924911;0.112364;0.120242;0.104900;1.665024;1.280053;2.029811;
97;1.559900;1.100055;2.007613;0.112090;0.120544;0.103860;1.671990;1.220599;2.111472;
98;1.543408;1.150806;1.930504;0.111185;0.118514;0.103958;1.654592;1.269320;2.034463;
99;1.563063;1.156958;1.951355;0.112754;0.119751;0.106064;1.675817;1.276709;2.057419;
100;1.551212;1.154117;1.933227;0.112081;0.119263;0.105171;1.663292;1.273380;2.038398;
